estudiantes	agno_ingreso	tipo_ie	nem	psu	ranking_10	ranking_75	dependencia	año_egreso	QUINTIL
2213	2013	IP	S/I	S/I			S/I	S/I	2
1944	2013	IP	S/I	S/I			S/I	S/I	3
1585	2013	IP	S/I	S/I			S/I	S/I	4
1529	2013	IP	S/I	S/I			S/I	S/I	1
1449	2013	IP	50a55	100a475	0	0	PS	2012	2
1395	2013	IP	50a55	100a475	0	0	PS	2012	1
1152	2013	IP	50a55	100a475	0	0	MUN	2012	1
969	2013	CFT	S/I	S/I			S/I	S/I	2
902	2013	IP	50a55	100a475	0	0	PS	2012	3
865	2013	CFT	50a55	100a475	0	0	PS	2012	1
834	2013	IP	55a60	100a475	0	0	MUN	2012	1
821	2013	IP	50a55	100a475	0	0	MUN	2012	2
767	2010	IP	S/I	S/I			S/I	S/I	5
763	2013	CFT	50a55	100a475	0	0	MUN	2012	1
744	2013	CFT	S/I	S/I			S/I	S/I	3
739	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	2
734	2013	CFT	50a55	100a475	0	0	PS	2012	2
689	2013	CFT	S/I	S/I			S/I	S/I	1
674	2013	IP	50a55	100a475	0	0	PS	2012	4
673	2013	IP	55a60	100a475	0	0	PS	2012	1
643	2013	IP	50a55	S/I	0	0	MUN	2008oAnterior	2
614	2013	U-CRUCH	60a70	600a700	0	0	PP	2012	5
610	2013	IP	50a55	100a475	0	0	PS	2011	2
594	2013	IP	55a60	100a475	0	0	PS	2012	2
584	2013	CFT	S/I	S/I			S/I	S/I	4
576	2013	IP	55a60	100a475	0	0	MUN	2012	2
574	2013	CFT	55a60	100a475	0	0	MUN	2012	1
553	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	2
552	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	2
532	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	3
517	2013	IP	50a55	S/I	0	0	MUN	2008oAnterior	1
515	2013	U-CRUCH	55a60	500a550	0	0	PS	2012	2
509	2013	IP	50a55	100a475	0	0	PS	2011	1
509	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	4
493	2013	CFT	50a55	100a475	0	0	MUN	2012	2
492	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	2
490	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	4
489	2013	IP	50a55	S/I	0	0	MUN	2008oAnterior	3
482	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	4
471	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	3
465	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	4
459	2013	U-CRUCH	60a70	700a900	0	0	PP	2012	5
452	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	3
450	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	3
446	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	1
442	2013	IP	50a55	100a475	0	0	MUN	2012	3
437	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	5
435	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	3
430	2013	CFT	50a55	100a475	0	0	PS	2012	3
429	2013	IP	50a55	100a475	0	0	MUN	2011	1
427	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	2
416	2013	U-PRIVADA	55a60	500a550	0	0	PS	2012	2
405	2013	CFT	55a60	100a475	0	0	PS	2012	1
405	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	4
400	2013	U-CRUCH	55a60	500a550	0	0	PS	2012	1
397	2013	U-PRIVADA	55a60	500a550	0	0	PS	2012	3
392	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	1
391	2013	IP	55a60	S/I	0	0	MUN	2008oAnterior	2
390	2013	IP	50a55	100a475	0	0	PS	2011	3
387	2013	U-CRUCH	55a60	600a700	0	0	PS	2012	4
382	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	1
380	2013	U-PRIVADA	55a60	500a550	0	0	PS	2012	4
376	2013	IP	55a60	S/I	0	0	PS	2008oAnterior	2
368	2013	U-PRIVADA	S/I	S/I			S/I	S/I	4
363	2013	CFT	55a60	100a475	0	0	MUN	2012	2
356	2013	U-CRUCH	55a60	500a550	0	0	PS	2012	3
354	2013	U-PRIVADA	55a60	550a600	0	0	PS	2012	4
353	2013	IP	50a55	100a475	0	0	PS	2012	5
352	2013	IP	55a60	100a475	0	0	PS	2012	3
350	2013	IP	40a50	100a475	0	0	PS	2012	2
345	2013	IP	50a55	100a475	0	0	MUN	2011	2
345	2013	IP	50a55	S/I	0	0	PS	2010	2
339	2013	CFT	50a55	100a475	0	0	PS	2011	2
334	2013	U-PRIVADA	55a60	550a600	0	0	PS	2012	2
331	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	5
326	2013	IP	55a60	S/I	0	0	PS	2008oAnterior	3
324	2013	IP	40a50	100a475	0	0	PS	2012	1
322	2013	U-PRIVADA	55a60	550a600	0	0	PS	2012	3
321	2013	U-PRIVADA	S/I	S/I			S/I	S/I	5
317	2013	CFT	55a60	100a475	0	0	PS	2012	2
317	2013	U-CRUCH	55a60	600a700	0	0	PS	2012	2
317	2013	U-CRUCH	60a70	550a600	0	0	PS	2012	2
316	2013	IP	50a55	S/I	0	0	MUN	2008oAnterior	4
316	2013	U-PRIVADA	55a60	500a550	0	0	PS	2012	1
314	2013	U-CRUCH	55a60	600a700	0	0	PS	2012	3
311	2013	CFT	50a55	S/I	0	0	PS	2008oAnterior	2
310	2013	CFT	50a55	S/I	0	0	MUN	2008oAnterior	2
310	2013	IP	55a60	S/I	0	0	MUN	2008oAnterior	3
306	2013	CFT	50a55	100a475	0	0	PS	2011	1
303	2013	U-CRUCH	60a70	550a600	1	1	PS	2012	2
300	2013	U-CRUCH	50a55	500a550	0	0	PS	2012	2
299	2013	CFT	50a55	100a475	0	0	PS	2012	4
298	2013	IP	55a60	S/I	0	0	MUN	2008oAnterior	1
297	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	1
295	2013	U-CRUCH	55a60	500a550	0	0	MUN	2012	1
291	2013	U-CRUCH	55a60	500a550	0	0	PS	2012	4
288	2013	IP	50a55	S/I	0	0	PS	2012	1
287	2013	CFT	50a55	S/I	0	0	MUN	2008oAnterior	1
287	2013	IP	50a55	S/I	0	0	MUN	2012	1
285	2013	IP	50a55	S/I	0	0	MUN	2010	1
280	2013	IP	50a55	500a550	0	0	PS	2012	2
280	2013	IP	50a55	S/I	0	0	PS	2010	1
280	2013	U-CRUCH	55a60	600a700	0	0	PS	2012	5
279	2013	U-PRIVADA	55a60	550a600	0	0	PS	2012	5
276	2013	IP	55a60	S/I	0	0	PS	2008oAnterior	4
274	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	5
273	2013	IP	55a60	100a475	0	0	MUN	2012	3
273	2013	U-PRIVADA	S/I	S/I			S/I	S/I	3
272	2013	U-CRUCH	60a70	550a600	0	0	PS	2012	4
271	2013	IP	50a55	S/I	0	0	MUN	2010	2
271	2013	IP	55a60	100a475	0	0	MUN	2011	1
270	2013	U-CRUCH	50a55	500a550	0	0	PS	2012	3
270	2013	U-CRUCH	60a70	550a600	1	1	PS	2012	1
270	2013	U-CRUCH	60a70	600a700	0	0	PS	2011	2
270	2013	U-PRIVADA	50a55	500a550	0	0	PS	2011	2
269	2013	U-CRUCH	60a70	550a600	1	1	MUN	2012	1
269	2013	U-PRIVADA	50a55	100a475	0	0	PS	2012	2
266	2013	IP	55a60	100a475	0	0	PS	2011	1
263	2013	IP	50a55	100a475	0	0	PS	2011	4
261	2013	U-CRUCH	50a55	550a600	0	0	PS	2012	2
258	2013	IP	55a60	100a475	0	0	PS	2011	2
255	2013	IP	40a50	100a475	0	0	PS	2012	3
252	2013	CFT	50a55	100a475	0	0	MUN	2012	3
252	2013	IP	50a55	S/I	0	0	PS	2009	2
251	2013	U-CRUCH	55a60	500a550	0	0	MUN	2012	2
251	2013	U-PRIVADA	50a55	100a475	0	0	PS	2012	1
250	2013	CFT	50a55	100a475	0	0	MUN	2011	2
250	2013	U-PRIVADA	50a55	500a550	0	0	PS	2011	3
249	2013	IP	50a55	100a475	0	0	MUN	2012	4
249	2013	U-CRUCH	60a70	500a550	1	1	MUN	2012	1
247	2013	U-CRUCH	50a55	500a550	0	0	PS	2012	4
247	2013	U-CRUCH	60a70	550a600	0	0	PS	2012	1
245	2013	CFT	50a55	S/I	0	0	PS	2008oAnterior	3
245	2013	U-CRUCH	60a70	550a600	0	0	PS	2012	3
245	2013	U-PRIVADA	50a55	100a475	0	0	PS	2012	4
243	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	1
242	2013	U-CRUCH	60a70	600a700	0	0	PS	2011	3
241	2013	U-CRUCH	60a70	600a700	0	0	PP	2012	4
240	2013	IP	55a60	S/I	0	0	PS	2008oAnterior	1
240	2013	U-CRUCH	60a70	600a700	1	1	MUN	2012	2
240	2013	U-PRIVADA	50a55	550a600	0	0	PS	2012	2
239	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	5
239	2013	U-CRUCH	60a70	600a700	1	1	MUN	2012	1
235	2013	U-PRIVADA	55a60	550a600	0	0	PS	2012	1
234	2013	IP	50a55	475a500	0	0	PS	2012	2
233	2013	CFT	50a55	S/I	0	0	PS	2008oAnterior	1
232	2013	IP	50a55	S/I	0	0	PS	2010	3
232	2013	IP	S/I	100a475			S/I	S/I	1
232	2013	U-CRUCH	50a55	500a550	0	0	PS	2012	1
231	2013	IP	S/I	100a475			S/I	S/I	2
230	2013	CFT	S/I	S/I			S/I	S/I	5
228	2013	CFT	50a55	100a475	0	0	MUN	2011	1
228	2013	U-PRIVADA	S/I	S/I			S/I	S/I	2
226	2013	CFT	50a55	S/I	0	0	MUN	2012	1
226	2013	U-PRIVADA	50a55	550a600	0	0	PS	2012	4
216	2013	U-PRIVADA	55a60	500a550	0	0	PS	2012	5
214	2013	CFT	50a55	S/I	0	0	PS	2012	1
213	2013	IP	55a60	100a475	0	0	MUN	2011	2
213	2013	U-PRIVADA	50a55	475a500	0	0	PS	2012	1
212	2013	CFT	55a60	S/I	0	0	MUN	2008oAnterior	2
210	2013	U-CRUCH	50a55	550a600	0	0	PS	2012	4
210	2013	U-PRIVADA	50a55	475a500	0	0	PS	2012	2
208	2013	IP	55a60	500a550	0	0	PS	2012	2
208	2013	U-CRUCH	60a70	600a700	0	0	MUN	2012	2
208	2013	U-PRIVADA	50a55	500a550	0	0	PS	2011	4
207	2013	CFT	50a55	S/I	0	0	MUN	2008oAnterior	3
206	2013	IP	50a55	500a550	0	0	PS	2012	1
206	2013	IP	55a60	S/I	0	0	MUN	2008oAnterior	4
206	2013	U-PRIVADA	50a55	100a475	0	0	PS	2012	3
206	2013	U-PRIVADA	60a70	600a700	0	0	PP	2012	5
203	2013	IP	40a50	100a475	0	0	PS	2012	4
203	2013	U-PRIVADA	50a55	475a500	0	0	PS	2012	4
202	2013	IP	50a55	S/I	0	0	PS	2012	2
201	2013	U-PRIVADA	50a55	475a500	0	0	PS	2012	3
200	2013	IP	50a55	500a550	0	0	PS	2012	3
200	2013	IP	55a60	100a475	0	0	PS	2012	4
200	2013	U-CRUCH	55a60	550a600	0	0	PS	2011	2
200	2013	U-PRIVADA	55a60	550a600	0	0	PS	2011	2
199	2013	IP	50a55	S/I	0	0	MUN	2009	2
199	2013	U-PRIVADA	55a60	500a550	0	0	PS	2011	2
198	2013	U-CRUCH	60a70	500a550	1	1	PS	2012	2
198	2013	U-CRUCH	60a70	550a600	1	1	PS	2012	3
197	2013	U-CRUCH	55a60	550a600	0	0	MUN	2012	1
194	2013	IP	50a55	S/I	0	0	PS	2009	1
194	2013	U-CRUCH	50a55	550a600	0	0	PS	2012	3
194	2013	U-CRUCH	55a60	600a700	0	0	MUN	2012	2
194	2013	U-CRUCH	55a60	600a700	0	0	PS	2012	1
194	2013	U-CRUCH	60a70	500a550	1	1	PS	2012	1
194	2013	U-PRIVADA	55a60	600a700	0	0	PP	2012	5
192	2013	CFT	50a55	S/I	0	0	PS	2008oAnterior	4
192	2013	IP	50a55	500a550	0	0	PS	2012	4
192	2013	U-CRUCH	55a60	550a600	0	0	MUN	2012	2
187	2013	CFT	50a55	100a475	0	0	PS	2011	3
187	2013	IP	50a55	S/I	0	0	PS	2009	3
187	2013	U-CRUCH	60a70	600a700	0	0	PS	2011	4
183	2013	CFT	55a60	S/I	0	0	MUN	2008oAnterior	1
183	2013	IP	50a55	S/I	0	0	MUN	2009	1
183	2013	U-CRUCH	55a60	600a700	0	0	PP	2012	5
182	2013	IP	50a55	475a500	0	0	PS	2012	1
181	2013	IP	40a50	100a475	0	0	MUN	2012	1
181	2013	IP	60a70	100a475	1	1	MUN	2012	1
180	2013	IP	50a55	S/I	0	0	MUN	2012	2
180	2013	U-PRIVADA	55a60	500a550	0	0	MUN	2012	2
178	2013	U-PRIVADA	50a55	550a600	0	0	PS	2012	5
177	2013	U-PRIVADA	55a60	100a475	0	0	PS	2012	1
177	2013	U-PRIVADA	55a60	600a700	0	0	PS	2012	4
176	2013	U-PRIVADA	55a60	100a475	0	0	PS	2012	2
175	2013	U-CRUCH	60a70	600a700	1	1	MUN	2012	3
174	2012	CFT	55a60	S/I	0	0	PS	2008oAnterior	2
173	2013	IP	40a50	100a475	0	0	MUN	2012	2
173	2013	U-CRUCH	60a70	550a600	1	1	MUN	2012	2
172	2013	CFT	55a60	100a475	0	0	MUN	2011	1
171	2013	CFT	55a60	100a475	0	0	PS	2011	1
170	2013	U-CRUCH	60a70	600a700	0	0	MUN	2012	1
169	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	5
168	2013	U-CRUCH	60a70	700a900	1	1	PS	2012	4
167	2013	IP	40a50	S/I	0	0	PS	2008oAnterior	4
167	2013	IP	50a55	100a475	0	0	MUN	2011	3
167	2013	IP	50a55	S/I	0	0	MUN	2011	1
167	2013	IP	55a60	S/I	0	0	MUN	2010	2
166	2013	CFT	55a60	100a475	0	0	PS	2012	3
166	2013	IP	55a60	100a475	0	0	PS	2011	3
166	2013	U-CRUCH	55a60	500a550	0	0	PS	2011	2
166	2013	U-PRIVADA	55a60	550a600	0	0	PS	2011	4
166	2013	U-PRIVADA	55a60	600a700	0	0	PS	2012	5
165	2013	U-CRUCH	55a60	600a700	0	0	PS	2011	2
165	2013	U-CRUCH	60a70	700a900	1	1	PS	2012	5
165	2013	U-PRIVADA	55a60	500a550	0	0	PS	2011	3
164	2012	CFT	50a55	S/I	0	0	PS	2010	1
164	2013	IP	50a55	S/I	0	0	PS	2011	1
164	2013	U-PRIVADA	55a60	475a500	0	0	PS	2012	1
163	2013	U-CRUCH	60a70	500a550	1	1	MUN	2012	2
162	2013	IP	40a50	S/I	0	0	PS	2008oAnterior	2
162	2013	U-CRUCH	60a70	600a700	0	0	PS	2011	1
161	2013	U-PRIVADA	55a60	500a550	0	0	PS	2011	1
160	2013	IP	50a55	S/I	0	0	PS	2011	2
160	2013	IP	S/I	100a475			S/I	S/I	3
159	2013	IP	40a50	S/I	0	0	MUN	2008oAnterior	2
159	2013	U-PRIVADA	55a60	475a500	0	0	PS	2012	2
158	2013	U-CRUCH	50a55	500a550	0	0	PS	2011	2
158	2013	U-CRUCH	55a60	550a600	0	0	PS	2011	1
158	2013	U-CRUCH	60a70	500a550	0	0	MUN	2012	1
157	2013	IP	40a50	S/I	0	0	PS	2008oAnterior	3
157	2013	IP	50a55	S/I	0	0	PS	2010	4
157	2013	U-CRUCH	60a70	550a600	0	0	MUN	2012	2
157	2013	U-PRIVADA	50a55	100a475	0	0	PS	2012	5
157	2013	U-PRIVADA	50a55	550a600	0	0	PS	2012	3
156	2013	U-CRUCH	60a70	600a700	0	0	PS	2011	5
155	2013	U-CRUCH	55a60	500a550	0	0	PS	2011	1
155	2013	U-CRUCH	60a70	550a600	0	0	MUN	2012	1
154	2013	IP	55a60	500a550	0	0	PS	2012	1
154	2013	U-PRIVADA	55a60	500a550	0	0	MUN	2012	1
153	2013	CFT	50a55	100a475	0	0	PS	2012	5
153	2013	IP	50a55	S/I	0	0	MUN	2010	3
153	2013	U-PRIVADA	50a55	500a550	0	0	PS	2011	1
153	2013	U-PRIVADA	50a55	550a600	0	0	PS	2011	2
152	2013	U-CRUCH	50a55	550a600	0	0	PS	2012	1
151	2013	CFT	50a55	S/I	0	0	MUN	2010	1
151	2013	CFT	55a60	S/I	0	0	PS	2008oAnterior	3
150	2013	U-CRUCH	60a70	550a600	0	0	PS	2011	2
150	2013	U-PRIVADA	55a60	550a600	0	0	PP	2012	5
149	2013	U-CRUCH	55a60	500a550	0	0	PS	2012	5
149	2013	U-CRUCH	55a60	600a700	0	0	PS	2011	4
149	2013	U-PRIVADA	S/I	S/I			S/I	S/I	1
148	2013	CFT	55a60	100a475	0	0	PS	2011	2
148	2013	IP	40a50	100a475	0	0	PS	2011	1
147	2013	CFT	40a50	100a475	0	0	PS	2012	2
147	2013	IP	50a55	475a500	0	0	PS	2012	3
147	2013	U-CRUCH	55a60	500a550	0	0	MUN	2012	3
147	2013	U-CRUCH	55a60	600a700	0	0	PS	2011	3
147	2013	U-CRUCH	60a70	500a550	0	0	PS	2012	2
147	2013	U-CRUCH	60a70	600a700	0	0	PP	2012	3
147	2013	U-PRIVADA	55a60	550a600	0	0	PS	2011	3
146	2013	CFT	50a55	S/I	0	0	MUN	2012	2
146	2013	IP	40a50	100a475	0	0	PS	2011	2
146	2013	U-CRUCH	55a60	550a600	0	0	PS	2011	3
146	2013	U-CRUCH	60a70	550a600	0	0	PS	2012	5
145	2013	CFT	50a55	100a475	0	0	MUN	2012	4
144	2013	CFT	50a55	S/I	0	0	PS	2009	2
144	2013	U-PRIVADA	50a55	100a475	0	0	MUN	2012	1
143	2013	CFT	40a50	100a475	0	0	PS	2012	1
143	2013	U-CRUCH	60a70	500a550	0	0	PS	2012	1
143	2013	U-CRUCH	60a70	550a600	0	0	PS	2011	1
143	2013	U-CRUCH	60a70	550a600	1	1	PS	2012	4
142	2013	IP	60a70	100a475	1	1	PS	2012	1
142	2013	U-CRUCH	60a70	700a900	0	0	PP	2012	4
141	2013	CFT	50a55	S/I	0	0	MUN	2010	2
140	2013	CFT	50a55	S/I	0	0	PS	2010	2
140	2013	U-PRIVADA	50a55	550a600	0	0	PS	2011	4
139	2013	IP	50a55	S/I	0	0	MUN	2011	2
139	2013	IP	55a60	S/I	0	0	PS	2010	2
139	2013	IP	60a70	100a475	0	0	MUN	2012	1
139	2013	U-PRIVADA	55a60	475a500	0	0	PS	2012	3
138	2013	CFT	55a60	100a475	0	0	MUN	2012	3
138	2013	U-PRIVADA	55a60	100a475	0	0	MUN	2012	1
137	2013	IP	55a60	S/I	0	0	PS	2012	1
137	2013	U-PRIVADA	55a60	600a700	0	0	PS	2012	2
136	2012	CFT	55a60	100a475	0	0	MUN	2011	2
136	2013	IP	55a60	S/I	0	0	MUN	2010	1
136	2013	IP	55a60	S/I	0	0	PS	2010	1
135	2013	IP	50a55	475a500	0	0	PS	2012	4
135	2013	IP	50a55	S/I	0	0	MUN	2009	3
134	2013	IP	55a60	100a475	0	0	MUN	2012	4
134	2013	IP	55a60	475a500	0	0	PS	2012	2
134	2013	IP	55a60	S/I	0	0	MUN	2012	1
134	2013	U-CRUCH	60a70	600a700	0	0	MUN	2012	3
133	2013	U-CRUCH	60a70	600a700	0	0	MUN	2011	2
132	2013	CFT	50a55	S/I	0	0	MUN	2008oAnterior	4
132	2013	U-PRIVADA	50a55	100a475	0	0	MUN	2012	2
132	2013	U-PRIVADA	S/I	500a550			S/I	S/I	2
131	2013	CFT	55a60	S/I	0	0	PS	2008oAnterior	1
131	2013	U-PRIVADA	50a55	475a500	0	0	PS	2012	5
130	2013	U-CRUCH	55a60	500a550	0	0	MUN	2011	1
129	2013	IP	55a60	500a550	0	0	PS	2012	3
128	2013	CFT	50a55	S/I	0	0	PS	2012	2
128	2013	U-CRUCH	55a60	600a700	0	0	MUN	2012	3
128	2013	U-PRIVADA	50a55	500a550	0	0	MUN	2012	1
127	2013	IP	55a60	500a550	0	0	PS	2012	4
127	2013	U-CRUCH	50a55	500a550	0	0	PS	2011	1
127	2013	U-PRIVADA	55a60	500a550	0	0	PS	2011	4
126	2013	U-PRIVADA	55a60	475a500	0	0	PS	2012	4
125	2013	IP	55a60	475a500	0	0	PS	2012	1
124	2013	CFT	50a55	S/I	0	0	MUN	2009	1
124	2013	U-CRUCH	60a70	600a700	0	0	MUN	2012	4
124	2013	U-CRUCH	60a70	700a900	1	1	PS	2012	3
123	2013	CFT	50a55	500a550	0	0	PS	2012	2
123	2013	IP	40a50	S/I	0	0	MUN	2008oAnterior	3
123	2013	U-PRIVADA	50a55	475a500	0	0	PS	2011	1
123	2013	U-PRIVADA	50a55	475a500	0	0	PS	2011	2
122	2013	CFT	50a55	475a500	0	0	PS	2012	2
122	2013	U-CRUCH	60a70	700a900	1	1	PS	2012	2
121	2013	U-CRUCH	60a70	600a700	0	0	PP	2012	
121	2013	U-PRIVADA	50a55	100a475	0	0	PS	2011	2
121	2013	U-PRIVADA	55a60	600a700	0	0	PS	2012	3
120	2013	CFT	50a55	S/I	0	0	MUN	2011	1
120	2013	IP	50a55	100a475	0	0	MUN	2011	4
120	2013	IP	50a55	500a550	0	0	PS	2011	2
120	2013	IP	50a55	S/I	0	0	PS	2009	4
120	2013	U-PRIVADA	55a60	550a600	0	0	PS	2011	1
119	2013	CFT	60a70	100a475	1	1	MUN	2012	1
119	2013	IP	60a70	100a475	1	1	PS	2012	2
119	2013	U-CRUCH	55a60	600a700	0	0	MUN	2012	1
119	2013	U-PRIVADA	50a55	500a550	0	0	MUN	2012	2
119	2013	U-PRIVADA	50a55	500a550	0	0	PS	2011	5
119	2013	U-PRIVADA	50a55	550a600	0	0	PS	2012	1
118	2013	CFT	55a60	S/I	0	0	MUN	2012	1
118	2013	IP	50a55	S/I	0	0	PS	2012	3
118	2013	U-CRUCH	50a55	550a600	0	0	PS	2012	5
118	2013	U-CRUCH	55a60	550a600	0	0	PS	2011	4
118	2013	U-CRUCH	60a70	600a700	1	0	PS	2012	2
117	2013	U-PRIVADA	50a55	100a475	0	0	PS	2011	3
116	2013	IP	50a55	S/I	0	0	PS	2011	3
115	2013	IP	50a55	100a475	0	0	MUN	2012	5
114	2013	U-PRIVADA	50a55	S/I	0	0	PS	2008oAnterior	3
113	2013	CFT	50a55	100a475	0	0	PS	2011	4
113	2013	U-CRUCH	55a60	500a550	0	0	PS	2011	3
113	2013	U-CRUCH	S/I	600a700			S/I	S/I	2
113	2013	U-PRIVADA	55a60	100a475	0	0	PS	2012	4
113	2013	U-PRIVADA	S/I	500a550			S/I	S/I	3
112	2013	CFT	50a55	S/I	0	0	MUN	2009	2
112	2013	IP	40a50	S/I	0	0	MUN	2008oAnterior	1
112	2013	IP	60a70	100a475	1	1	MUN	2012	2
112	2013	IP	60a70	S/I	0	0	MUN	2008oAnterior	2
112	2013	IP	S/I	100a475			S/I	S/I	4
112	2013	U-CRUCH	60a70	500a550	0	0	MUN	2012	2
112	2013	U-CRUCH	60a70	500a550	0	0	PS	2012	3
112	2013	U-CRUCH	S/I	550a600			S/I	S/I	2
111	2013	CFT	55a60	100a475	0	0	PS	2012	4
111	2013	CFT	55a60	S/I	0	0	MUN	2008oAnterior	3
111	2013	U-CRUCH	55a60	500a550	0	0	MUN	2011	2
111	2013	U-CRUCH	60a70	500a550	0	0	PS	2011	1
110	2013	IP	55a60	475a500	0	0	MUN	2012	1
110	2013	IP	55a60	S/I	0	0	MUN	2009	2
110	2013	U-CRUCH	60a70	600a700	1	0	PS	2012	4
109	2013	U-PRIVADA	55a60	100a475	0	0	PS	2012	3
109	2013	U-PRIVADA	60a70	550a600	0	0	PS	2012	4
108	2013	CFT	50a55	S/I	0	0	PS	2011	2
108	2013	IP	40a50	100a475	0	0	PS	2011	3
108	2013	IP	60a70	S/I	0	0	PS	2008oAnterior	2
108	2013	U-CRUCH	55a60	550a600	0	0	MUN	2012	3
107	2012	CFT	55a60	S/I	0	0	PS	2008oAnterior	4
107	2013	IP	50a55	475a500	0	0	MUN	2012	1
107	2013	IP	55a60	S/I	0	0	PS	2009	2
107	2013	U-PRIVADA	50a55	550a600	0	0	PS	2011	3
107	2013	U-PRIVADA	55a60	475a500	0	0	MUN	2012	1
107	2013	U-PRIVADA	60a70	550a600	0	0	PS	2012	2
106	2013	IP	60a70	S/I	0	0	MUN	2008oAnterior	1
106	2013	U-CRUCH	60a70	600a700	0	0	PS	2010	2
105	2013	CFT	S/I	100a475			S/I	S/I	1
105	2013	IP	60a70	S/I	0	0	MUN	2008oAnterior	3
105	2013	U-CRUCH	50a55	500a550	0	0	PS	2011	3
105	2013	U-CRUCH	60a70	500a550	0	0	MUN	2011	1
105	2013	U-CRUCH	60a70	550a600	1	1	MUN	2012	3
105	2013	U-PRIVADA	55a60	S/I	0	0	PS	2008oAnterior	4
104	2013	IP	50a55	100a475	0	0	PS	2011	5
104	2013	U-CRUCH	55a60	600a700	0	0	MUN	2011	2
104	2013	U-PRIVADA	55a60	550a600	0	0	MUN	2012	1
104	2013	U-PRIVADA	60a70	550a600	0	0	PS	2012	3
103	2013	CFT	50a55	100a475	0	0	MUN	2011	3
103	2013	CFT	50a55	S/I	0	0	PS	2011	1
103	2013	IP	40a50	S/I	0	0	PS	2010	2
103	2007	IP	50a55	S/I	0	0	MUN	2008oAnterior	5
103	2013	IP	55a60	S/I	0	0	PS	2009	1
103	2013	U-CRUCH	50a55	500a550	0	0	MUN	2012	1
103	2013	U-CRUCH	50a55	500a550	0	0	PS	2012	5
103	2013	U-CRUCH	60a70	600a700	1	0	PS	2012	3
103	2013	U-PRIVADA	50a55	S/I	0	0	PS	2008oAnterior	4
103	2013	U-PRIVADA	55a60	550a600	0	0	PS	2011	5
102	2013	IP	55a60	100a475	0	0	MUN	2011	3
102	2013	IP	55a60	100a475	0	0	PS	2011	4
102	2013	IP	55a60	100a475	0	0	PS	2012	5
102	2013	U-CRUCH	S/I	500a550			S/I	S/I	2
101	2013	CFT	40a50	100a475	0	0	PS	2012	3
101	2013	CFT	50a55	S/I	0	0	PS	2010	3
101	2013	IP	40a50	100a475	0	0	PS	2012	5
101	2013	U-CRUCH	50a55	500a550	0	0	MUN	2012	2
101	2013	U-PRIVADA	55a60	600a700	0	0	PS	2011	4
100	2013	IP	50a55	500a550	0	0	MUN	2012	2
100	2013	IP	50a55	500a550	0	0	PS	2011	3
100	2013	U-CRUCH	60a70	550a600	0	0	PS	2011	3
100	2013	U-CRUCH	60a70	600a700	0	0	MUN	2011	3
100	2013	U-CRUCH	60a70	600a700	1	1	MUN	2012	4
100	2013	U-PRIVADA	50a55	550a600	0	0	PP	2012	5
99	2013	U-CRUCH	50a55	550a600	0	0	PS	2011	2
99	2013	U-CRUCH	55a60	550a600	0	0	MUN	2012	4
99	2013	U-PRIVADA	50a55	100a475	0	0	PS	2011	4
99	2013	U-PRIVADA	50a55	500a550	0	0	MUN	2012	3
99	2013	U-PRIVADA	55a60	550a600	0	0	MUN	2012	2
98	2013	IP	40a50	S/I	0	0	PS	2012	1
98	2013	IP	55a60	S/I	0	0	PS	2009	3
98	2013	U-CRUCH	55a60	600a700	0	0	PP	2012	4
97	2013	CFT	S/I	100a475			S/I	S/I	2
97	2013	IP	40a50	S/I	0	0	PS	2010	3
97	2013	U-CRUCH	55a60	475a500	0	0	PS	2012	2
97	2013	U-CRUCH	60a70	600a700	0	0	MUN	2011	1
97	2013	U-PRIVADA	55a60	100a475	0	0	MUN	2012	2
96	2013	CFT	50a55	500a550	0	0	PS	2012	1
96	2013	CFT	50a55	S/I	0	0	PS	2009	1
96	2013	IP	55a60	500a550	0	0	PS	2011	2
96	2013	U-CRUCH	60a70	550a600	0	0	MUN	2011	1
